Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temperature
986,-348,16818,55,32,35,243
994,-350,16760,71,40,48,243
1000,-334,16788,68,35,42,243
984,-372,16812,70,25,32,243
1004,-342,16800,62,29,35,243
980,-368,16726,67,21,43,243
994,-358,16788,52,23,35,243
992,-358,16824,50,24,31,243
998,-346,16782,73,22,40,243
994,-392,16784,61,22,35,243
992,-344,16796,59,33,37,243
988,-316,16796,75,25,41,243
970,-348,16786,65,32,29,243
982,-364,16754,71,31,39,243
986,-338,16788,69,31,35,243
998,-366,16804,64,34,40,243
990,-362,16810,59,27,40,243
986,-358,16774,57,23,40,243
982,-340,16788,63,24,40,243
984,-348,16808,71,19,30,243
972,-350,16802,64,23,37,243
990,-380,16778,60,26,37,243
972,-338,16790,61,31,34,243
1000,-336,16804,57,32,33,243
998,-360,16800,64,33,37,243
982,-374,16758,67,32,39,243
998,-336,16776,64,21,30,243
1006,-380,16792,58,27,28,243
980,-344,16798,60,24,39,243
976,-352,16752,64,21,43,243
984,-336,16774,66,12,40,243
1012,-340,16794,60,21,41,243
992,-348,16802,60,28,46,243
972,-350,16752,59,25,35,243
970,-350,16756,57,31,24,243
978,-364,16792,60,28,29,243
958,-392,16828,60,28,22,243
988,-366,16756,62,28,45,243
978,-366,16784,57,22,32,243
1006,-380,16824,60,34,36,243
984,-356,16774,55,26,28,243
984,-376,16770,58,31,42,243
996,-356,16770,70,33,35,243
986,-336,16816,59,36,46,243
974,-340,16812,55,28,46,243
976,-368,16764,64,33,38,243
1002,-358,16778,62,23,34,243
970,-350,16788,65,26,47,243
986,-330,16786,68,27,42,243
978,-350,16756,61,25,37,243
960,-344,16800,59,28,48,243
968,-368,16790,55,26,51,243
984,-344,16802,60,23,29,243
1012,-372,16786,58,20,36,243
986,-360,16792,62,25,42,243
972,-356,16822,59,28,35,243
1006,-364,16804,65,31,32,243
986,-344,16760,65,27,35,243
992,-334,16804,66,32,53,243
994,-340,16784,64,29,36,243
986,-360,16802,64,25,38,243
1002,-350,16778,72,17,35,243
1016,-342,16792,60,24,46,243
1002,-354,16816,67,14,40,243
996,-350,16796,64,31,36,243
1002,-328,16766,67,35,38,243
1000,-336,16800,58,24,37,243
978,-358,16820,56,25,39,243
998,-356,16806,57,21,31,243
974,-386,16754,57,32,35,243
1020,-364,16796,58,25,36,243
1004,-366,16804,64,22,39,243
958,-354,16814,57,19,32,243
970,-368,16764,60,24,40,243
978,-356,16770,60,18,31,243
976,-358,16824,64,28,37,243
970,-352,16832,57,28,30,243
994,-390,16772,65,17,42,243
